publication,issueNumber,edition,language,condition,publicationDate,barcode,notes,ocrText,copyNotes,dateAdded
Picsou Magazine,540,standard,FR,Bon,2024-01,3271234540017,,,,2024-01-15T10:00:00Z
Picsou Magazine,541,standard,FR,Bon,2024-02,3271234541014,,,,2024-02-12T10:00:00Z
Picsou Magazine,542,standard,FR,Très bon,2024-03,3271234542011,,,,2024-03-10T10:00:00Z
Picsou Magazine,543,standard,FR,Neuf,2024-04,3271234543018,,,,2024-04-14T10:00:00Z
Picsou Magazine,544,standard,FR,Bon,2024-05,3271234544015,,,Acheté en lot,2024-05-11T10:00:00Z
Picsou Magazine,545,standard,FR,Usé,2024-06,3271234545012,,,,2024-06-09T10:00:00Z
Picsou Magazine,546,standard,FR,Bon,2024-07,3271234546019,,,,2024-07-13T10:00:00Z
Picsou Magazine,547,standard,FR,Neuf,2024-08,3271234547016,,PICSOU MAGAZINE 547,,2024-08-10T10:00:00Z
Picsou Magazine,547,standard,FR,Neuf,2024-08,3271234547016,,,Doublon brocante de Lille,2024-09-01T10:00:00Z
Picsou Magazine,547,standard,FR,Neuf,2024-08,3271234547016,,,,2025-03-22T10:00:00Z
Picsou Magazine,548,standard,FR,Bon,2024-09,3271234548013,,,,2024-09-14T10:00:00Z
Picsou Magazine,549,standard,FR,Très bon,2024-10,3271234549010,,,,2024-10-12T10:00:00Z
Picsou Magazine,550,standard,FR,Neuf,2024-11,3271234550019,,,,2024-11-09T10:00:00Z
Picsou Magazine,551,standard,FR,Bon,2024-12,3271234551016,,,,2024-12-14T10:00:00Z
Picsou Magazine,552,standard,FR,Bon,2025-01,3271234552013,,,,2025-01-11T10:00:00Z
Picsou Magazine,552,standard,FR,Bon,2025-01,3271234552013,,,Échange avec un ami,2025-06-15T10:00:00Z
Picsou Magazine,553,standard,FR,Très bon,2025-02,3271234553010,,,,2025-02-08T10:00:00Z
Picsou Magazine,554,standard,FR,Neuf,2025-03,3271234554017,,,,2025-03-08T10:00:00Z
Picsou Magazine,555,standard,FR,Bon,2025-04,3271234555014,,,,2025-04-12T10:00:00Z
Picsou Magazine,556,standard,FR,Usé,2025-05,3271234556011,"Couverture froissée, manque le poster",,,2025-05-10T10:00:00Z
Picsou Magazine,557,standard,FR,Bon,2025-06,3271234557018,,,,2025-06-14T10:00:00Z
Picsou Magazine,558,standard,FR,Neuf,2025-07,3271234558015,"Acheté 3 €, état ""neuf"" selon vendeur",,,2025-07-12T10:00:00Z
Picsou Magazine,559,standard,FR,Bon,2025-08,3271234559012,,,,2025-08-09T10:00:00Z
Picsou Magazine,560,standard,FR,Très bon,2025-09,3271234560018,,,,2025-09-13T10:00:00Z
Picsou Magazine,561,standard,FR,Neuf,2025-10,3271234561015,,,,2025-10-11T10:00:00Z
Picsou Magazine,562,standard,FR,Bon,2025-11,3271234562012,,,,2025-11-08T10:00:00Z
Picsou Magazine,563,standard,FR,Neuf,2025-12,3271234563019,,,,2025-12-13T10:00:00Z
Picsou Magazine,564,standard,FR,Bon,2026-01,3271234564016,,,,2026-01-10T10:00:00Z
Picsou Magazine,565,standard,FR,Très bon,2026-02,3271234565013,,,,2026-02-14T10:00:00Z
Picsou Magazine,12,standard,FR,Abîmé,1972-03,3271234000012,"Dos décollé, pages jaunies",,,2023-05-01T10:00:00Z
Picsou Magazine,89,standard,FR,Usé,1985-07,3271234000089,,,,2023-05-01T10:00:00Z
Picsou Magazine,600,standard,FR,Neuf,2026-03,3271234000011,,,,2026-03-08T10:00:00Z
Super Picsou Géant,200,géant,FR,Neuf,2026-02,3271234000011,,SUPER PICSOU GEANT 200,,2026-02-20T10:00:00Z
Super Picsou Géant,200,géant,FR,Neuf,2026-02,3271234000011,,,Doublon vide-grenier,2026-04-05T10:00:00Z
Super Picsou Géant,201,géant,FR,Très bon,2024-03,3271234201016,,,,2024-03-15T10:00:00Z
Super Picsou Géant,202,géant,FR,Bon,2024-05,3271234202013,,,,2024-05-18T10:00:00Z
Super Picsou Géant,203,géant,FR,Neuf,2024-07,3271234203010,,,,2024-07-20T10:00:00Z
Super Picsou Géant,204,géant,FR,Bon,2024-09,3271234204017,,,,2024-09-21T10:00:00Z
Super Picsou Géant,205,géant,FR,Usé,2024-11,3271234205014,,,,2024-11-16T10:00:00Z
Super Picsou Géant,206,géant,FR,Très bon,2025-01,3271234206011,,,,2025-01-18T10:00:00Z
Super Picsou Géant,207,géant,FR,Neuf,2025-04,3271234207018,,,,2025-04-19T10:00:00Z
Super Picsou Géant,208,géant,FR,Bon,2025-07,3271234208015,,,,2025-07-19T10:00:00Z
Super Picsou Géant,209,géant,FR,Neuf,2025-10,3271234209012,,,,2025-10-18T10:00:00Z
Super Picsou Géant,210,géant,FR,Très bon,2025-12,3271234210018,,,,2025-12-20T10:00:00Z
Super Picsou Géant,185,géant,FR,Bon,1998-06,3271234185019,,,,2023-06-10T10:00:00Z
Super Picsou Géant,150,géant,FR,Usé,1990-11,3271234150018,Tampon brocante sur la couverture,,,2023-06-10T10:00:00Z
Mickey Parade,300,standard,FR,Bon,2023-01,3271234300016,,,,2023-02-01T10:00:00Z
Mickey Parade,301,standard,FR,Très bon,2023-03,3271234301013,,,,2023-03-15T10:00:00Z
Mickey Parade,302,standard,FR,Neuf,2023-05,3271234302010,,,,2023-05-17T10:00:00Z
Mickey Parade,303,standard,FR,Bon,2023-07,3271234303017,,,,2023-07-19T10:00:00Z
Mickey Parade,304,standard,FR,Usé,2023-09,3271234304014,,,,2023-09-20T10:00:00Z
Mickey Parade,305,standard,FR,Bon,2023-11,3271234305011,,,,2023-11-15T10:00:00Z
Mickey Parade,305,standard,FR,Bon,2023-11,3271234305011,,,Offert par un ami,2024-12-25T10:00:00Z
Mickey Parade,306,standard,FR,Très bon,2024-01,3271234306018,,,,2024-01-17T10:00:00Z
Mickey Parade,307,standard,FR,Neuf,2024-04,3271234307015,,,,2024-04-17T10:00:00Z
Mickey Parade,308,standard,FR,Bon,2024-06,3271234308012,,,,2024-06-19T10:00:00Z
Mickey Parade,309,standard,FR,Bon,2024-09,3271234309019,,,,2024-09-18T10:00:00Z
Mickey Parade,310,standard,FR,Neuf,2024-11,3271234310015,,,,2024-11-20T10:00:00Z
Mickey Parade,311,standard,FR,Très bon,2025-02,3271234311012,,,,2025-02-19T10:00:00Z
Mickey Parade,312,import,EN,Bon,2025-05,3271234312019,Édition anglaise,,,2025-05-21T10:00:00Z
Le Journal de Mickey,3500,hebdo,FR,Bon,2024-01,3271234350019,,,,2024-01-20T10:00:00Z
Le Journal de Mickey,3501,hebdo,FR,Bon,2024-02,3271234351016,,,,2024-02-17T10:00:00Z
Le Journal de Mickey,3502,hebdo,FR,Très bon,2024-03,3271234352013,,,,2024-03-16T10:00:00Z
Le Journal de Mickey,3503,hebdo,FR,Neuf,2024-04,3271234353010,,,,2024-04-20T10:00:00Z
Le Journal de Mickey,3504,hebdo,FR,Bon,2024-05,3271234354017,,,,2024-05-18T10:00:00Z
Le Journal de Mickey,3505,hebdo,FR,Usé,2024-06,3271234355014,,,,2024-06-15T10:00:00Z
Le Journal de Mickey,3506,hebdo,FR,Bon,2024-07,3271234356011,,,,2024-07-20T10:00:00Z
Le Journal de Mickey,3507,hebdo,FR,Neuf,2024-08,3271234357018,,,,2024-08-17T10:00:00Z
Les Trésors de Picsou — Édition Collector 75e Anniversaire,1,collector,FR,Neuf,2024-06,3271234400019,Coffret rigide avec certificat,,,2024-06-22T10:00:00Z
Les Trésors de Picsou — Édition Collector 75e Anniversaire,2,collector,FR,Neuf,2024-12,3271234400026,,,,2024-12-21T10:00:00Z
Super Picsou Géant Hors-Série Spécial Été,1,hors-série,FR,Très bon,2025-07,3271234400071,,,,2025-07-26T10:00:00Z
Picsou Hors-Série,,Spécial Été,FR,Très bon,2025-07,3271234400101,,,,2025-07-26T10:00:00Z
Picsou Hors-Série,,Spécial Été,FR,Très bon,2025-07,3271234400101,,,Exemplaire de plage,2025-08-02T10:00:00Z
Picsou Hors-Série,5,Spécial Hiver,FR,Neuf,2025-12,3271234400102,,,,2025-12-24T10:00:00Z
